id,name,hotel_id,address,link_hotel,city_id,quality,rating,number_people_rating,description,distance,image,price
92,"Snooze Hotel",hotel_2910502,Huế,https://is.gd/QxNTWK,6231,2,8.6,187,"Phòng Deluxe Giường Đôi","107.597067641872,16.4701553630267",https://is.gd/kwIwRy,220000
93,"Thanh An Homestay",hotel_2304774,Huế,https://is.gd/Foevla,6231,0,8.8,279,"Phòng Tiêu Chuẩn Giường Đôi","107.595826238394,16.469354804651",https://is.gd/BM0BwH,198000
94,"The Times Hotel",hotel_2161875,Huế,https://is.gd/BPLfj5,6231,2,9.2,409,"Phòng Tiêu Chuẩn Có Giường Cỡ King","107.597200343586,16.4701485850736",https://is.gd/Uizwaz,280000
95,"Moonlight Hotel Hue",hotel_460817,Huế,https://is.gd/0OFKeu,6231,4,8.8,643,"Phòng Tiêu chuẩn Giường Đôi hoặc 2 Giường Đơn","107.59413510561,16.4693640885481",https://is.gd/Uie9OH,714000
96,"Le Robinet Homestay",hotel_3395789,Huế,https://is.gd/6XGZRK,6231,2,9,685,"Phòng 4 Người với Phòng tắm Riêng","107.574295008598,16.466531075714",https://is.gd/sntnjw,376650
97,"Pilgrimage Wellness Retreat",hotel_4541776,Huế,https://is.gd/RlbjKJ,6231,5,0,0,"Biệt Thự Với Quyền Sử Dụng Hồ Bơi Cùng Gói Chăm Sóc Sức Khỏe","107.578572,16.425444",https://is.gd/Mv48Ft,5878607
98,"OYO 882 Lucky Hotel",hotel_6094640,Huế,https://is.gd/OQFPwy,6231,2,7.8,18,"Phòng Tiêu Chuẩn Giường Đôi","107.566881,16.470426",https://is.gd/W2yC08,227472
99,"a-mâze house",hotel_4620928,Huế,https://is.gd/YPXOYm,6231,0,9.4,142,"Phòng gia đình với phòng tắm riêng.","107.580149341105,16.4783655720425",https://is.gd/1SoBMO,450000
100,"Azerai La Residence, Hue",hotel_235924,Huế,https://is.gd/BoITHS,6231,5,9.4,100,"Phòng Superior Tiêu chuẩn có Giường Đôi/2 Giường Đơn","107.580034732819,16.4590108604505",https://is.gd/O1ZjKW,10015583
101,"Tâm Homestay",hotel_5163838,Huế,https://is.gd/ZYOuKO,6231,0,9.8,171,"Phòng Deluxe Có Giường Cỡ Queen","107.596359,16.469324",https://is.gd/F6WAs5,280500
102,"Sunny A Hotel",hotel_1137759,Huế,https://is.gd/8jFn5g,6231,2,8.9,634,"Phòng Tiêu Chuẩn Giường Đôi","107.592823505402,16.4648473196328",https://is.gd/MmdSXk,277200
103,"OYO 1117 Ngoc Lan Motel",hotel_6382640,Huế,https://is.gd/Yg6Ql1,6231,2,9.3,36,"Phòng Tiêu Chuẩn Giường Đôi","107.600177,16.467275",https://is.gd/sr7Tzn,199536
104,"Nhà nghỉ Kiến An",hotel_4126893,Huế,https://is.gd/SHLTyr,6231,3,7.2,14,"Phòng Deluxe Có Giường Cỡ King","107.596198,16.459892",https://is.gd/dJzXcy,230000
105,"Dimpless Homestay",hotel_5403734,Huế,https://is.gd/01xyuC,6231,0,8,125,"Phòng Deluxe Giường Đôi","107.588459,16.461269",https://is.gd/s8ewTl,200000
106,"La Luz Del Sol Homestay",hotel_5191360,Huế,https://is.gd/1k9xoB,6231,3,9.5,26,"Căn hộ Studio","107.6052367,16.4650497",https://is.gd/urT5o9,498000
107,"Vietnam Backpacker Hostels - Hue",hotel_2849605,Huế,https://is.gd/TTQgct,6231,0,7.8,187,"Phòng Tiêu Chuẩn Giường Đôi","107.594034484656,16.469723868239",https://is.gd/kWahjr,300000
108,"Purple Hue Central Hub",hotel_5015515,Huế,https://is.gd/LmYQdT,6231,0,9.4,667,"Phòng Giường Đôi Hạng Bình Dân","107.594192,16.46586",https://is.gd/9S5MWp,350000
109,"Hue Riverside Boutique Resort & Spa",hotel_540102,Huế,https://is.gd/BZLdks,6231,4,8.2,39,"Phòng Superior Đôi Nhìn ra Sông","107.539302706718,16.4480113969739",https://is.gd/dW5vH1,1308300
110,"Tom House",hotel_5445634,Huế,https://is.gd/RkLVOJ,6231,0,0,0,"Phòng Giường Đôi hoặc 2 Giường Đơn","107.587497,16.455358",https://is.gd/dL5FzG,350000
111,"Hue 1962 INN",hotel_5896366,Huế,https://is.gd/yMz1Zr,6231,0,9.3,22,"Phòng Gia đình","107.574877,16.472332",https://is.gd/vpklvq,455430
112,"5.T Hostel",hotel_6521029,Huế,https://is.gd/hvTTGV,6231,0,9.6,5,"Phòng Giường Đôi Có Ban Công (2 Người Lớn + 1 Trẻ Em)","107.596209,16.469685",https://is.gd/vOYhNR,230000
113,"Hue Royal Hotel",hotel_664200,Huế,https://is.gd/EaOjhm,6231,3,8,236,"Phòng Deluxe Giường Đôi","107.596291601658,16.4710874293557",https://is.gd/W3q1q1,352755
114,"La Paix Hue",hotel_4089533,Huế,https://is.gd/sg9ZVt,6231,3,9.4,262,"Phòng Deluxe","107.595454520169,16.4812886042596",https://is.gd/NMFGzF,690000
115,"OYO 721 Ben Homestay",hotel_5970150,Huế,https://is.gd/kuQQU0,6231,3,9.2,42,"Phòng Tiêu Chuẩn Giường Đôi","107.595858,16.469585",https://is.gd/wSJXi7,199536
116,"Tin Tin Hue Hostel",hotel_2462077,Huế,https://is.gd/JYCQ98,6231,0,8.4,230,"Phòng Tiêu Chuẩn Giường Đôi","107.595063218032,16.4687132601632",https://is.gd/WwxhyG,275000
117,"Hotel La Perle",hotel_1881999,Huế,https://is.gd/ATJgD3,6231,3,9.5,1828,"Phòng Giường Đôi/ 2 Giường Đơn Hạng Tiết Kiệm","107.597073800862,16.4702286545368",https://is.gd/2bOcfm,531250
118,"Sline Hotel",hotel_6814886,Huế,https://is.gd/YGZDB5,6231,1,0,0,"Phòng Giường Đôi","107.597158,16.471419",https://is.gd/lYhwjt,457600
119,"Hong Thien 1 Hotel",hotel_5648642,Huế,https://is.gd/lRLzSX,6231,3,8.6,49,"Phòng Giường Đôi Nhỏ","107.596339,16.469172",https://is.gd/AsZdgi,297500
120,"Romance Hotel",hotel_240715,Huế,https://is.gd/4SZfmq,6231,4,8.6,55,"Phòng Superior Giường Đôi hoặc 2 Giường Đơn","107.596032768488,16.4680795466565",https://is.gd/4I22it,883728
121,"SPOT ON 1058 Khoi Nguyen Motel",hotel_2880993,"Cư Chinh",https://is.gd/pLWLGE,6231,3,0,0,"Phòng Tiêu Chuẩn Giường Đôi","107.574069058228,16.435327579098",https://is.gd/xUhWWA,179582
122,"Shark Homestay",hotel_3373406,Huế,https://is.gd/AphPJQ,6231,0,9.3,663,"Phòng Deluxe Giường Đôi","107.596062,16.470458",https://is.gd/5XCHWp,350000
123,"Ngoc Binh Hotel",hotel_431915,Huế,https://is.gd/ttroRR,6231,1,8.5,506,"Phòng Giường Đôi Lớn","107.592663913965,16.4647560057363",https://is.gd/IFLYDL,230000
124,"Gardenia Hue Hotel",hotel_3611881,Huế,https://is.gd/CNEdiw,6231,3,9.2,329,"Phòng Tiêu chuẩn Giường Đôi hoặc 2 Giường Đơn","107.596012,16.47055",https://is.gd/gjWmCs,496320
125,"DMZ Hostel",hotel_5457311,Huế,https://is.gd/4kj8Hg,6231,1,8.4,168,"Phòng Superior Giường Đôi","107.594503,16.469266",https://is.gd/thNIfb,400000
126,"Silk Path Boutique Hanoi",hotel_1462640,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/xyLesk,6228,4,9.3,502,"Ưu Đãi Đặc Biệt - Lưu Trú 24h - Phòng Tiêu Chuẩn Giường Đôi/2 Giường Đơn","105.852204711639,21.0256619492252",https://is.gd/1JPQKZ,1221412
127,"Peridot Grand Hotel & Spa by AIRA",hotel_6105345,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/B7P1uA,6228,5,9.7,247,"Chic Deluxe","105.846272,21.033082",https://is.gd/754SOq,1685454
128,"The Oriental Jade Hotel",hotel_4857532,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/BIAQzd,6228,5,9.6,1390,"Phòng Oriental Pearl 2 Giường Đơn","105.850278131283,21.0296450377077",https://is.gd/Wm7853,1733286
129,"Acoustic Hotel & Spa",hotel_4438946,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/toYhZx,6228,4,9.4,2673,"Phòng Deluxe Giường Đôi Có Ban Công","105.844548,21.027695",https://is.gd/LPIv4P,724714
130,"Solaria Hanoi Hotel",hotel_5695057,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/vT29sq,6228,4,9.4,662,"Phòng Sol Giường Đôi/2 Giường Đơn","105.850444,21.030072",https://is.gd/XvWzT5,1044166
131,"Sofitel Legend Metropole Hanoi",hotel_71003,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/n5lzbU,6228,5,9.3,645,"Cánh Opera - Phòng Premium 2 Giường Đơn","105.855524539948,21.0256664587259",https://is.gd/hfv9v5,5046365
132,"Hanoi Paradise Center Hotel & Spa",hotel_5580161,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/wzztpH,6228,4,9.5,966,"Phòng Deluxe Giường Đôi/2 Giường Đơn","105.856129186508,21.0305154403295",https://is.gd/sACbYj,524906
133,"La Sinfonía del Rey Hotel & Spa",hotel_5016050,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/wZIaV5,6228,4,9.6,436,"Phòng Superior không có Cửa sổ","105.853974031391,21.0311663967357",https://is.gd/dPZphQ,1149000
134,"Mövenpick Hotel Hanoi",hotel_71077,"Quận Hoàn Kiếm, Hà Nội",https://is.gd/1ApOmI,6228,5,8.6,387,"Ưu Đãi Du Lịch Tại Chỗ - Sử Dụng Trong Ngày (11:00 - 17:00) - Phòng Superior","105.844087600708,21.025098134315",https://is.gd/IKB7Qa,1230000
135,"Halais Hotel",hotel_4299846,"Quận Hai Bà Trưng, Hà Nội",https://is.gd/l2bS4V,6228,4,8.6,332,"Phòng Superior Giường Đôi/2 Giường Đơn Nhìn Ra Thành Phố","105.848663,21.017079",https://is.gd/mqfLTA,648000
